Server;Sets ;Games ;Points ;Description
Roger Federer  ;0?1;4?2;15?30;"1st serve wide; forehand return down the line (very deep); forehand crosscourt; backhand slice down the line, forced error."
Roger Federer  ;0?1;4?2;30?30;"1st serve down the T; forehand return down the middle (deep); forehand inside-out (wide), unforced error."
Roger Federer  ;0?1;4?2;30?40;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (shallow); backhand approach shot down the line; backhand down the line; backhand volley, forced error. (4-shot rally)"
;;;;
Rafael Nadal  ;1?0;3?4;0?0;"1st serve to body; forehand chip/slice return crosscourt, forced error."
Rafael Nadal  ;1?0;3?4;15?0;"1st serve wide; backhand slice return down the middle (very deep); forehand inside-out; forehand crosscourt (long), unforced error."
Rafael Nadal  ;1?0;3?4;30?0;"1st serve down the T; backhand return inside-out (deep); backhand slice down the middle; forehand crosscourt; backhand down the middle; forehand inside-out; forehand crosscourt; backhand drop shot crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand half-volley at baseline down the middle; forehand crosscourt; backhand crosscourt; forehand drop shot down the middle (net), unforced error. (14-shot rally)"
Rafael Nadal  ;1?0;3?4;30?15;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; forehand inside-in; backhand crosscourt; forehand down the line; forehand down the line, forced error. (8-shot rally)"
Rafael Nadal  ;1?0;3?4;30?30;1st serve down the T, ace.
Rafael Nadal  ;1?0;3?4;40?30;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out (net), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;3?4;40?40;"1st serve wide, fault (net). 2nd serve to body; forehand return down the middle (shallow); backhand inside-out; forehand down the middle; backhand crosscourt; forehand chip/slice down the middle; forehand crosscourt (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;3?4;40?AD;"1st serve down the T; forehand return crosscourt, forced error."
Rafael Nadal  ;1?0;3?4;40?40;"1st serve down the T; backhand return down the middle (deep); forehand inside-out; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; forehand inside-in; backhand slice down the middle; forehand swinging volley approach shot crosscourt (long), unforced error. (9-shot rally)"
Rafael Nadal  ;1?0;3?4;AD?40;"1st serve to body; backhand return down the line, forced error."
;;;;
Roger Federer  ;0?1;4?4;0?0;"1st serve wide, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt (wide), unforced error."
